cloth_temp,cloth_humi,envir_temp,time,rea_time
22,36,23.81,90,10
22,36,23.81,90,10
22,36,23.81,90,10
22,36,23.81,90,10
22,36,23.81,90,10
22,36,23.81,90,10
22,40,23.81,90,10
22,40,23.81,90,10
22,40,23.81,90,10
22,40,23.81,90,10
23,30,23.75,91,9
23,30,23.75,91,9
23,30,23.75,91,9
23,30,23.75,91,9
23,30,23.75,91,9
23,30,23.75,91,9
22,38,23.75,91,9
22,38,23.75,91,9
22,38,23.75,91,9
22,38,23.75,91,9
22,24,23.62,92,8
22,24,23.62,92,8
22,24,23.62,92,8
22,24,23.62,92,8
22,24,23.62,92,8
22,24,23.62,92,8
22,39,23.62,92,8
22,39,23.62,92,8
22,39,23.62,92,8
22,39,23.62,92,8
23,30,23.87,93,7
23,30,23.87,93,7
23,30,23.87,93,7
23,30,23.87,93,7
23,30,23.87,93,7
23,30,23.87,93,7
22,39,23.87,93,7
22,39,23.87,93,7
22,39,23.87,93,7
22,39,23.87,93,7
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,25,23.75,94,6
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.68,95,5
23,19,23.75,96,4
23,19,23.75,96,4
23,19,23.75,96,4
23,19,23.75,96,4
23,19,23.75,96,4
23,19,23.75,96,4
23,19,23.75,96,4
23,22,23.75,96,4
23,22,23.75,96,4
23,22,23.75,96,4
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.81,97,3
23,19,23.68,98,2
23,19,23.68,98,2
23,19,23.68,98,2
23,19,23.68,98,2
23,19,23.68,98,2
23,19,23.68,98,2
23,41,23.68,98,2
23,41,23.68,98,2
23,41,23.68,98,2
23,41,23.68,98,2
23,33,24,99,1
23,33,24,99,1
23,33,24,99,1
23,33,24,99,1
23,33,24,99,1
23,33,24,99,1
23,33,24,99,1
23,21,24,99,1
23,21,24,99,1
23,21,24,99,1
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
23,19,23.87,100,0
20,64,23.56,1,61
20,64,23.56,1,61
20,64,23.56,1,61
20,64,23.56,1,61
20,64,23.56,1,61
20,64,23.56,1,61
20,64,23.56,1,61
21,62,24.62,2,60
21,62,24.62,2,60
21,62,24.62,2,60
21,62,24.62,2,60
21,62,24.62,2,60
19,71,24.62,2,60
19,71,24.62,2,60
19,71,24.62,2,60
19,71,24.62,2,60
19,71,24.62,2,60
18,72,24.56,3,59
18,72,24.56,3,59
18,72,24.56,3,59
18,72,24.56,3,59
18,72,24.56,3,59
18,76,24.56,3,59
18,76,24.56,3,59
18,76,24.56,3,59
18,76,24.56,3,59
18,76,24.56,3,59
18,75,24.5,4,58
18,75,24.5,4,58
18,75,24.5,4,58
18,75,24.5,4,58
18,75,24.5,4,58
18,75,24.5,4,58
18,75,24.5,4,58
18,78,24.5,4,58
18,78,24.5,4,58
18,78,24.5,4,58
18,78,24.5,5,57
18,78,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
18,84,24.5,5,57
19,80,24.5,5,57
18,81,24.43,6,56
18,81,24.43,6,56
18,85,24.43,6,56
18,85,24.43,6,56
18,84,24.43,6,56
18,84,24.43,6,56
18,83,24.43,6,56
18,83,24.43,6,56
18,82,24.43,6,56
18,82,24.43,6,56
18,82,24.56,7,55
18,82,24.56,7,55
18,86,24.56,7,55
18,86,24.56,7,55
18,85,24.56,7,55
18,85,24.56,7,55
18,84,24.56,7,55
18,84,24.56,7,55
18,84,24.56,7,55
18,84,24.56,7,55
18,83,24.5,8,54
18,83,24.5,8,54
18,87,24.5,8,54
18,87,24.5,8,54
18,85,24.5,8,54
18,85,24.5,8,54
18,85,24.5,8,54
18,85,24.5,8,54
18,85,24.5,8,54
18,85,24.5,8,54
18,84,24.5,9,53
18,84,24.5,9,53
18,87,24.5,9,53
18,87,24.5,9,53
18,86,24.5,9,53
18,86,24.5,9,53
18,85,24.5,9,53
18,85,24.5,9,53
18,85,24.5,9,53
18,85,24.5,9,53
18,85,24.62,10,52
18,85,24.62,10,52
18,87,24.62,10,52
18,87,24.62,10,52
18,86,24.62,10,52
18,86,24.62,10,52
18,85,24.62,10,52
18,85,24.62,10,52
18,85,24.62,10,52
18,85,24.62,10,52
18,84,24.56,11,51
18,84,24.56,11,51
18,87,24.56,11,51
18,87,24.56,11,51
18,86,24.56,11,51
18,86,24.56,11,51
18,85,24.56,11,51
18,85,24.56,11,51
18,85,24.56,11,51
18,85,24.56,11,51
18,85,24.75,12,50
18,85,24.75,12,50
18,87,24.75,12,50
18,87,24.75,12,50
18,86,24.75,12,50
18,86,24.75,12,50
18,85,24.75,12,50
18,85,24.75,12,50
18,85,24.75,12,50
18,85,24.75,12,50
18,85,24.75,13,49
18,85,24.75,13,49
18,87,24.75,13,49
18,87,24.75,13,49
18,86,24.75,13,49
18,86,24.75,13,49
18,86,24.75,13,49
18,86,24.75,13,49
18,85,24.75,13,49
18,85,24.75,13,49
18,85,24.81,14,48
18,85,24.81,14,48
18,90,24.81,14,48
18,90,24.81,14,48
18,87,24.81,14,48
18,87,24.81,14,48
18,86,24.81,14,48
18,86,24.81,14,48
18,86,24.81,14,48
18,86,24.81,14,48
18,86,24.75,15,47
18,86,24.75,15,47
18,90,24.75,15,47
18,90,24.75,15,47
18,87,24.75,15,47
18,87,24.75,15,47
18,87,24.75,15,47
18,87,24.75,15,47
18,87,24.75,15,47
18,87,24.75,15,47
18,86,24.68,16,46
18,86,24.68,16,46
18,90,24.68,16,46
18,90,24.68,16,46
18,87,24.68,16,46
18,87,24.68,16,46
18,87,24.68,16,46
18,87,24.68,16,46
18,87,24.68,16,46
18,87,24.68,16,46
18,87,24.68,17,45
18,87,24.68,17,45
18,92,24.68,17,45
18,92,24.68,17,45
18,90,24.68,17,45
18,90,24.68,17,45
19,86,24.68,17,45
19,86,24.68,17,45
19,86,24.68,17,45
19,86,24.68,17,45
19,86,24.75,18,44
19,86,24.75,18,44
18,90,24.75,18,44
18,90,24.75,18,44
18,87,24.75,18,44
18,87,24.75,18,44
18,87,24.75,18,44
18,87,24.75,18,44
18,86,24.75,18,44
18,86,24.75,18,44
18,86,24.68,19,43
18,86,24.68,19,43
18,87,24.68,19,43
18,87,24.68,19,43
18,86,24.68,19,43
18,86,24.68,19,43
18,85,24.68,19,43
18,85,24.68,19,43
18,85,24.68,19,43
